cnty,year,legid,ElectionTotalVotes,TotalSeats,party,votes,seats
Albania,2001,1,2647169,140,"P10-Socialist Party of Albania",1137438,34
Albania,2001,1,2647169,140,"P16-Alternative Liberal Party",2460,0
Albania,2001,1,2647169,140,"P17-National Alliance Party/Albanian National Alliance Party",24,0
Albania,2001,1,2647169,140,"P19-Agrarian Party of Albania",46774,3
Albania,2001,1,2647169,140,"P1-Democratic Alliance Party",59507,3
Albania,2001,1,2647169,140,"P24-Albanian Christian-Democratic Union Party",3206,0
Albania,2001,1,2647169,140,"P25-Party for Human Rights",61954,3
Albania,2001,1,2647169,140,"P26-Democratic Union Party",11680,0
Albania,2001,1,2647169,140,"P28-Social Christian Party of Albania",9321,0
Albania,2001,1,2647169,140,"P29-Albanian National Unity Party",3074,0
Albania,2001,1,2647169,140,"P2-National Unity Party",5951,0
Albania,2001,1,2647169,140,"P31-Albanian Republican Union Party",2213,0
Albania,2001,1,2647169,140,"P32-Albanian Business Party",1729,0
Albania,2001,1,2647169,140,"P34-Democratic Party",106933,6
Albania,2001,1,2647169,140,"P35-Union for Victory",997765,40
Albania,2001,1,2647169,140,"P38-Christian Democratic Party of Albania",21301,0
Albania,2001,1,2647169,140,"P46-Albanian Immigration Party",713,0
Albania,2001,1,2647169,140,"P47-Albania Force Party",580,0
Albania,2001,1,2647169,140,"P50-Party of United Communists of Albania",5376,0
Albania,2001,1,2647169,140,"P51-National Conservative Party of Albania",1249,0
Albania,2001,1,2647169,140,"P52-Albanian Communist Party",19937,0
Albania,2001,1,2647169,140,"P54-Peasant Connection Party",546,0
Albania,2001,1,2647169,140,"P55-Albanian National League Party",1854,0
Albania,2001,1,2647169,140,"P57-Albanian Democratic Monarchy Movement Party",2412,0
Albania,2001,1,2647169,140,"P58-Albanian Workers Movement Party",6794,0
Albania,2001,1,2647169,140,"P62-Centralist People's Welfare Party",84,0
Albania,2001,1,2647169,140,"P63-Albanian National Reconciliation Party",428,0
Albania,2001,1,2647169,140,"P66-Albanian Party of Democratic Reforms",1515,0
Albania,2001,1,2647169,140,"P70-Social Democratic Party",95200,4
Albania,2001,1,2647169,140,"P72-Albanian Environmentalist Party",1181,0
Albania,2001,1,2647169,140,P75-Independent,37970,1
Albania,2005,1,2732730,140,"P10-Socialist Party of Albania",660318,42
Albania,2005,1,2732730,140,"P11-Socialist Movement for Integration",227247,5
Albania,2005,1,2732730,140,"P12-Movement for National Development",68922,0
Albania,2005,1,2732730,140,"P14-Environmentalist Agrarian Party",99623,4
Albania,2005,1,2732730,140,"P18-People's Alliance Party",99,0
Albania,2005,1,2732730,140,"P1-Democratic Alliance Party",75742,3
Albania,2005,1,2732730,140,"P20-Albanian Future Party",445,0
Albania,2005,1,2732730,140,"P21-Albanian Socialist Alliance Party",6849,0
Albania,2005,1,2732730,140,"P23-National Democratic Front Party",7632,0
Albania,2005,1,2732730,140,"P25-Party for Human Rights",68574,2
Albania,2005,1,2732730,140,"P27-Albanian National Front Party",24173,0
Albania,2005,1,2732730,140,"P28-Social Christian Party of Albania",107,0
Albania,2005,1,2732730,140,"P34-Democratic Party",706862,56
Albania,2005,1,2732730,140,"P36-Democratic Party of Democracy and New Albanian Right",2349,0
Albania,2005,1,2732730,140,"P37-Party for Justice and Integration",16012,0
Albania,2005,1,2732730,140,"P38-Christian Democratic Party of Albania",44576,2
Albania,2005,1,2732730,140,"P3-Social Spectrum Parties-Party of National Unity",4693,0
Albania,2005,1,2732730,140,"P44-New Democratic Party",101373,4
Albania,2005,1,2732730,140,"P45-Social Democracy Party of Albania",66512,2
Albania,2005,1,2732730,140,"P46-Albanian Immigration Party",34,0
Albania,2005,1,2732730,140,"P48-Green Party of Albania",22,0
Albania,2005,1,2732730,140,"P4-Alliance Party for Solidarity and Welfare",6755,0
Albania,2005,1,2732730,140,"P52-Albanian Communist Party",12828,0
Albania,2005,1,2732730,140,"P53-8th November Communist Party of Albania",124,0
Albania,2005,1,2732730,140,"P57-Albanian Democratic Monarchy Movement Party",1731,0
Albania,2005,1,2732730,140,"P5-Albanian Democratic Union-Alliance for Freedom Justice and Welfare",7371,0
Albania,2005,1,2732730,140,"P64-Labor Party of Albania",12741,0
Albania,2005,1,2732730,140,"P65-Republican Party",272746,11
Albania,2005,1,2732730,140,"P66-Albanian Party of Democratic Reforms",231,0
Albania,2005,1,2732730,140,"P6-Liberal Democrat Party",14418,1
Albania,2005,1,2732730,140,"P70-Social Democratic Party",192468,7
Albania,2005,1,2732730,140,"P73-Party of Albanian National Recognition",78,0
Albania,2005,1,2732730,140,"P74-Albanian National Security Party",570,0
Albania,2005,1,2732730,140,P75-Independent,16077,1
Albania,2005,1,2732730,140,"P76-No Affiliation/No Label",548,0
Albania,2005,1,2732730,140,"P7-Linking Blerta Albanian Party",2348,0
Albania,2005,1,2732730,140,"P8-Democratic Movement for Integration",505,0
Albania,2005,1,2732730,140,"P9-Movement of Human Rights and Freedoms Party",9027,0
