cnty,year,legid,ElectionTotalVotes,TotalSeats,party,votes,seats
Austria,2002,1,4909645,105,"P2-Austrian Socialist Party",1792499,46
Austria,2002,1,4909645,105,"P19-Freedom Party of Austria",491328,0
Austria,2002,1,4909645,105,"P1-Austrian People's Party",2076833,59
Austria,1999,1,4622354,102,"P61-No to NATO and EU-Austrian Neutral Citizens' Initiative",19286,0
Austria,1999,1,4622354,102,"P60-The Independent-Lugner List",46943,0
Austria,1999,1,4622354,102,"P53-Liberal Forum-Heide Schmidt",168612,0
Austria,1999,1,4622354,102,"P49-Christian Voters' Association",3030,0
Austria,1999,1,4622354,102,"P46-Green Alternatie/Green in Parliament",342260,0
Austria,1999,1,4622354,102,"P3-Austrian Communist Party",22016,0
Austria,1999,1,4622354,102,"P2-Austrian Socialist Party",1532448,41
Austria,1999,1,4622354,102,"P19-Freedom Party of Austria",1244087,29
Austria,1999,1,4622354,102,"P1-Austrian People's Party",1243672,32
Austria,1995,1,2273102,97,"P59-Citizens' Initiative Against the EU-Exit Now",53184,0
Austria,1995,1,2273102,97,"P58-The Best Party",830,0
Austria,1995,1,2273102,97,"P57-Austrian Natural Law Party",1634,0
Austria,1995,1,2273102,97,"P53-Liberal Forum-Heide Schmidt",267078,0
Austria,1995,1,2273102,97,"P46-Green Alternatie/Green in Parliament",233232,0
Austria,1995,1,2273102,97,"P3-Austrian Communist Party",1060175,0
Austria,1995,1,2273102,97,"P2-Austrian Socialist Party",1843679,48
Austria,1995,1,2273102,97,"P19-Freedom Party of Austria",613452,17
Austria,1995,1,2273102,97,"P1-Austrian People's Party",1370497,32
Austria,1994,1,4633114,91,"P58-The Best Party",581,0
Austria,1994,1,4633114,91,"P57-Austrian Natural Law Party",4209,0
Austria,1994,1,4633114,91,"P56-No-Citizens' Initiative Against the Sale of Austria",41492,0
Austria,1994,1,4633114,91,"P55-Citizens' Greens of Austria-Free Democrats-The Liberal Association of the Insured Citizens' List and Independents",2504,0
Austria,1994,1,4633114,91,"P54-United Greens of Austria-Adi Pinter List",5776,0
Austria,1994,1,4633114,91,P52-Independent,482,0
Austria,1994,1,4633114,91,"P53-Liberal Forum-Heide Schmidt",276580,0
Austria,1994,1,4633114,91,"P49-Christian Voters' Association",9051,0
Austria,1994,1,4633114,91,"P46-Green Alternatie/Green in Parliament",338538,0
Austria,1994,1,4633114,91,"P3-Austrian Communist Party",11919,0
Austria,1994,1,4633114,91,"P2-Austrian Socialist Party",1617804,43
Austria,1994,1,4633114,91,"P19-Freedom Party of Austria",1042332,16
Austria,1994,1,4633114,91,"P1-Austrian People's Party",1281846,32
Austria,1990,1,4704894,158,P52-Independent,2530,0
Austria,1990,1,4704894,158,"P51-Electoral Platform of the Horrors of Austria",3996,0
Austria,1990,1,4704894,158,"P50-Christian Democratic Party",6194,0
Austria,1990,1,4704894,158,"P49-Christian Voters' Association",9263,0
Austria,1990,1,4704894,158,"P48-Association of the Insured",35833,0
Austria,1990,1,4704894,158,"P47-United Greens of Austria-Environmental Citizens' Forum",92277,0
Austria,1990,1,4704894,158,"P46-Green Alternatie/Green in Parliament",225084,5
Austria,1990,1,4704894,158,"P3-Austrian Communist Party",25682,0
Austria,1990,1,4704894,158,"P2-Austrian Socialist Party",2012787,75
Austria,1990,1,4704894,158,"P19-Freedom Party of Austria",782648,25
Austria,1990,1,4704894,158,"P1-Austrian People's Party",1508600,53
Austria,1986,1,4852188,162,"P45-Action List ""Mirreicht's""",8100,0
Austria,1986,1,4852188,162,"P44-Carinthian Green-United Greens of Austria-VOGA-Independent Councils",1059,0
Austria,1986,1,4852188,162,"P43-Green Alternative-Democratic List",6005,0
Austria,1986,1,4852188,162,"P42-Green Alternative-Freda Meissner Blau List",234028,5
Austria,1986,1,4852188,162,"P3-Austrian Communist Party",35104,0
Austria,1986,1,4852188,162,"P2-Austrian Socialist Party",2092024,75
Austria,1986,1,4852188,162,"P19-Freedom Party of Austria",472205,13
Austria,1986,1,4852188,162,"P1-Austrian People's Party",2003663,69
Austria,1983,1,4853417,164,"P41-Stop Foreigners Movement",3914,0
Austria,1983,1,4853417,164,"P40-Austrian Party",5851,0
Austria,1983,1,4853417,164,"P39-Austrian Alternative List",65816,0
Austria,1983,1,4853417,164,"P38-United Greens of Austria",93798,0
Austria,1983,1,4853417,164,"P3-Austrian Communist Party",31912,0
Austria,1983,1,4853417,164,"P2-Austrian Socialist Party",2312529,82
Austria,1983,1,4853417,164,"P19-Freedom Party of Austria",241789,5
Austria,1983,1,4853417,164,"P1-Austrian People's Party",2097808,77
Austria,1979,1,4729251,169,"P37-Christian Social Consortium",2263,0
Austria,1979,1,4729251,169,"P3-Austrian Communist Party",45280,0
Austria,1979,1,4729251,169,"P2-Austrian Socialist Party",2413226,89
